,id,cuisine,ingredients_string,pred
23834,4262,brazilian,crushed ice key lime superfine sugar cachaca,brazilian
8362,3715,brazilian,potato frozen corn kernels mayonaise apple frozen peas pimento carrot pepper salt,southern_us
39061,21423,brazilian,bay leaves salt chicken paprika garlic cloves black pepper dijon style mustard onion vegetable oil beer,brazilian
10968,23567,brazilian,black pepper pork back ribs butter garlic cloves sausage links orange bay leaves diced yellow onion black beans olive oil white rice carne seca unsalted chicken stock kosher salt lager beer yellow onion farina,brazilian
21332,44822,brazilian,bouillon powder potato garlic cloves spicy sausage kale yellow onion water salt dried oregano white wine olive oil freshly ground pepper,italian
23692,34499,brazilian,olive oil diced tomatoes garlic cloves melted butter ground black pepper salt bay leaf boneless skin on chicken thighs white wine vinegar red bell pepper green bell pepper coarse sea salt salsa,mexican
15101,17677,brazilian,dulce de leche unsweetened cocoa powder butter cooking spray coconut flakes sprinkle,italian
28867,6677,brazilian,chocolate sprinkles cocoa powder sweetened condensed milk margarine,brazilian
33594,36592,brazilian,brown sugar olive oil garlic cloves cashew nuts mussel fresh cilantro salt roasted tomatoes serrano chilies lime beer onion lime juice fish stock coconut milk,brazilian
15561,38458,brazilian,tomato roll roast beef deli meat mozzarella cheese chip,italian
26418,10930,brazilian,egg ear of corn cinnamon sweetened condensed milk baking powder coconut milk melted butter salt,mexican
14598,35794,brazilian,egg spring onions all purpose flour oil bread crumbs garlic cream cheese onion celery stick chicken breasts sweet corn carrot chicken stock water salt green chilies coriander,mexican
37495,41075,brazilian,lime juice garlic fish steaks hot pepper sauce coconut milk tomato paste olive oil salt water parsley onion,brazilian
26484,5563,brazilian,raspberry chia seeds almond milk a ai medjool date cacao nibs,brazilian
11473,16721,brazilian,garlic sausage onion crushed tomatoes hot sauce ham hock pig white beans carrot broth bay leaves ground coriander pork shoulder,brazilian
3574,4828,brazilian,sugar ice lime water sweetened condensed milk,brazilian
1137,6231,brazilian,raspberry granola mango milk juice coconut frozen mixed berries banana ice,brazilian
28251,24144,brazilian,tapioca flour queso fresco olive oil table salt large eggs milk,brazilian
14696,10020,brazilian,olive oil bread flour salt yellow corn meal boiling water dry yeast,italian
3087,47784,brazilian,lime juice bell pepper coconut milk minced garlic olive oil paprika ground cumin fresh cilantro diced tomatoes onion tilapia fillets ground black pepper salt,mexican
33247,1984,brazilian,seedless watermelon demerara sugar cachaca lime juice basil leaves,brazilian
3508,21131,brazilian,fresh cilantro coarse salt freshly ground pepper cumin cooked rice ground black pepper salt fresh lime juice tomato olive oil garlic coconut milk salmon bell pepper sweet paprika onion,brazilian
21057,41100,brazilian,vodka salt tomato olive oil cooked shrimp dough pepper all purpose flour warm water vegetable oil onion,italian
21078,2488,brazilian,salt manioc flour butter,brazilian
31707,29554,brazilian,vegetable broth carrot ground cumin water orange juice sour cream black beans cayenne pepper red bell pepper olive oil garlic cloves onion,mexican
5288,45430,brazilian,tomato butter purple onion okra lemongrass ginger cilantro leaves shrimp chile red pepper salt oil lime garlic barramundi fillets cashew nuts,thai
3955,37471,brazilian,minced onion hot water garlic vegetable oil long grain white rice salt,mexican
19671,33908,brazilian,tomato olive oil ginger red bell pepper pepper vegetable stock oil red chili peppers spring onions salt fish lime cilantro garlic cloves,thai
13403,11785,brazilian,chicken wings flour salt lime vegetable oil chopped parsley pepper lime wedges garlic cloves olive oil red pepper flakes,mexican
19648,6301,brazilian,red chili peppers ground black pepper salt shrimp cashew nuts minced garlic lime wedges cilantro leaves coconut milk long grain white rice olive oil fish stock blanched almonds dried shrimp minced ginger sea bass fillets chopped onion fresh lime juice,brazilian
6589,31681,brazilian,a ai coconut water granola banana shredded coconut strawberry,brazilian
4647,11733,brazilian,a ai frozen banana chia seeds cinnamon ice spinach coconut milk,brazilian
4160,22284,brazilian,pepper hot pepper sauce large garlic cloves onion orange vegetable oil salt spicy pork sausage black turtle beans bay leaves bacon coriander olive oil lemon steak pork sausages,brazilian
29945,26718,brazilian,brazil nuts berry medjool date sliced fresh fruit seed chia seeds a ai beet coconut flakes frozen mixed berries coconut milk,brazilian
36287,34876,brazilian,andouille sausage purple onion bay leaf vegetable oil beef jerky plantain garlic low sodium beef broth black beans rice dried oregano,cajun_creole
27408,10723,brazilian,black beans shallot kielbasa ground beef chipotle chile green onions garlic flat leaf parsley olive oil bacon yellow onion oregano bay leaves white rice sausage,brazilian
19864,20245,brazilian,yucca root coconut cream palm oil olive oil coriander lime onion tomato prawn,brazilian
9502,46956,brazilian,butter chocolate sprinkles bow cocoa powder sweetened condensed milk,brazilian
7360,18076,brazilian,lime juice fresh mint apple juice apple cachaca ice cubes champagne,brazilian
38265,21101,brazilian,superfine sugar cachaca sour cherries fresh lime ice,brazilian
22417,7218,brazilian,refried black beans dende oil buttermilk salt ground black pepper crema heavy cream chopped cilantro,mexican
6849,1503,brazilian,garlic cloves vegetable oil onion salt long grain white rice chicken broth hot water,mexican
24787,32761,brazilian,milk tapioca flour salt large eggs canola shredded cheese,brazilian
30360,10442,brazilian,milk chicken breasts garlic cloves tomato sauce flour salt oregano egg parmesan cheese cilantro onion pepper baking powder oil canned corn,mexican
34355,6460,brazilian,cold water lime sugar sweetened condensed milk,brazilian
4093,45569,brazilian,tapioca flour salt whole milk parmesan cheese egg vegetable oil,brazilian
9898,34776,brazilian,fresh lime juice lime cachaca superfine sugar,brazilian
34659,19323,brazilian,manioc flour olive oil white rice red bell pepper egg minced garlic cracked black pepper diced yellow onion red kidney beans green bell pepper unsalted butter smoked sausage thick cut bacon chicken stock farofa bay leaves salt,brazilian
27390,15980,brazilian,onion soup mix chicken thighs beer,mexican
2051,31707,brazilian,sugar passion fruit cream sweetened condensed milk,brazilian
12606,27088,brazilian,hearts of palm green onions corn starch milk salt onion lime juice cheese chopped parsley tomato parmesan cheese shrimp peppercorn,brazilian
4462,1403,brazilian,egg whites shredded coconut butter granulated sugar egg yolks,french
27199,36833,brazilian,granulated sugar cachaca lime,brazilian
22486,25899,brazilian,superfine sugar cachaca lime juice passion fruit juice,brazilian
3964,28515,brazilian,simple syrup liqueur lime ice cachaca,brazilian
36412,23115,brazilian,milk tapioca flour vegetable oil egg grated parmesan cheese water salt,brazilian
19833,9694,brazilian,bee pollen a ai honey almond milk banana,brazilian
22652,2729,brazilian,green bell pepper ground black pepper purple onion flat leaf parsley corn raisin garlic cloves water butter salt long grain white rice olive oil bacon red bell pepper,southern_us
24874,42272,brazilian,orange leek red bell pepper black beans lime slices yellow bell pepper lime juice sweet potatoes yellow onion tomato dried thyme red pepper flakes ground cumin,jamaican
34596,44371,brazilian,whole milk egg salt butter tapioca starch monterey jack,brazilian
16272,15871,brazilian,tomato paste water french bread lemon bay leaf fish fillets olive oil ground red pepper ground coriander tomato oyster dry white wine crabmeat onion green bell pepper ground nutmeg parsley garlic cloves,cajun_creole
12499,42981,brazilian,whole milk sugar condensed milk egg vanilla extract water,filipino
9585,31041,brazilian,cod fillets salt yellow onion clam juice dry bread crumbs large eggs cilantro leaves bay leaf russet potatoes hot sauce,spanish
9346,10243,brazilian,sugar cachaca ice lime,brazilian
37906,46705,brazilian,shredded coconut sweetened condensed milk egg parmesan cheese milk sugar vanilla,brazilian
31320,37910,british,water large eggs heavy cream brandy granulated sugar date butterscotch sauce baking soda half   half vanilla extract light brown sugar unsalted butter baking powder all purpose flour,southern_us
34604,38406,british,sugar strawberry salt lemon juice mint grated lemon zest heavy cream vanilla bean paste,italian
24760,16460,british,unsalted butter worcestershire sauce all purpose flour chopped garlic black pepper leek bacon slices carrot reduced sodium chicken broth whole milk salt extra sharp cheddar cheese celery ribs ale dry mustard California bay leaves,southern_us
38849,9036,british,egg sausage salt bacon drippings all purpose flour milk,british
37464,36132,british,kosher salt beef stock rosemary leaves marmite frozen pastry puff sheets vegetable oil onion egg ale button mushrooms chuck ground black pepper fresh thyme leaves carrot,british
24754,2203,british,unsalted butter worcestershire sauce fresh parsley lean ground beef garlic cloves marjoram mushroom all purpose flour onion beef gravy russet potatoes carrot,british
31265,43968,british,egg butter croissant apple granulated sugar heavy cream golden raisins vanilla extract,french
28780,9907,british,lean ground pork lean ground beef ground black pepper unbaked pie shells mashed potatoes egg whites ground nutmeg salt,french
2202,12649,british,baking soda whole milk kosher salt dry yeast granulated sugar cornmeal water flour,southern_us
8144,23664,british,sugar salt whole milk baking powder suet all purpose flour,british
33451,11235,british,milk butter garlic cloves pork dried thyme all purpose flour pepper potato beef broth corn salt onion,irish
12939,12644,british,ground ginger heavy whipping cream graham cracker crumbs sweetened condensed milk banana white sugar butter,southern_us
37352,14301,british,turnip cider vinegar bay leaves garlic fresh rosemary prepared horseradish russet potatoes English mustard olive oil rib roast runny honey black peppercorns unsalted butter sea salt,french
3189,28027,british,kale cracked black pepper green onions canola oil unsalted butter fine sea salt milk russet potatoes,southern_us
28599,20543,british,Madeira rosemary sugar heavy cream kosher salt fresh lemon juice fig lemon,italian
11022,24902,british,whole milk egg all purpose flour salt beef drippings,british
34475,6719,british,ground black pepper butter ground beef brown sauce potato salt frozen peas cooking oil beef stock cubes onion water spring onions carrot,filipino
2081,16184,british,mussel unsalted butter onion water heavy cream Madeira bay leaves Madras curry powder large egg yolks garlic cloves,french
31497,1237,british,beef kidney salt frozen pastry puff sheets water all purpose flour beef tenderloin,british
18199,23627,british,lemon juice sugar gingerroot seville oranges,chinese
14952,4054,british,tart shells dried fig egg chopped walnuts brown sugar citron raisin,italian
5607,12133,british,large egg whites raspberry preserves all purpose flour sugar almond ice water cream sweeten whip large egg yolks almond extract vanilla beans unsalted butter salt,french
39035,27327,british,puff pastry minced meat,french
34376,7096,british,cold milk baking powder unsalted butter salt large eggs sugar cake flour,southern_us
11240,21971,british,egg prosciutto shallot puff pastry kosher salt dijon mustard dry red wine cremini mushrooms unsalted butter cracked black pepper olive oil beef stock beef tenderloin,british
3108,28755,british,ground black pepper frozen peas heavy cream butter salt,southern_us
14750,2129,british,butter chopped walnuts baking soda vanilla extract boiling water egg date white sugar baking powder all purpose flour,british
8216,7828,british,pepper lean ground beef beef broth italian seasoning tomato paste milk salt fresh parsley shredded cheddar cheese butter carrot ground cinnamon potato all purpose flour onion,italian
6860,44043,british,cream of tartar cream egg whites salt wine vanilla beans cinnamon nutmeg crumbles dried tart cherries cardamom pods sugar cherry chocolate,french
34409,42203,british,milk raisin all purpose flour brown sugar baking powder ginger cream of tartar chopped almonds currant allspice brandy butter beaten eggs,british
1036,39914,british,butter semi sweet chocolate morsels sugar salt light corn syrup water toasted almonds,french
13015,3986,british,black pepper worcestershire sauce mustard large eggs stilton cheese white vinegar finely chopped onion salt chicken broth vegetable oil,british
19901,43473,british,raspberry preserves raspberry crust custard dessert mix whipping cream cream sherry,british
8244,1644,british,whipping cream pomegranate juice strawberry meringue nests caster sugar,british
8243,23479,british,grated parmesan cheese cake flour coarse salt olive oil whipping cream baking powder onion,italian
13994,5850,british,horseradish large eggs all purpose flour frozen peas large egg whites heavy cream roast beef milk worcestershire sauce garlic cloves boiling potatoes unsalted butter salt onion,british
12346,40504,british,water large eggs salt ground ginger unsalted butter heavy cream light brown sugar baking soda baking powder all purpose flour pitted date granulated sugar vanilla,british
12329,15706,british,water vegetable oil cinnamon sticks demerara sugar olive oil red wine allspice tomato pur e rosemary red wine vinegar onion black pepper beef salt,greek
11957,35948,british,egg baking soda ground cloves corn syrup ground cinnamon cider vinegar white sugar shortening all purpose flour,southern_us
13925,35046,british,unsalted butter vanilla extract hazelnut whole milk all purpose flour baking soda baking powder sour cream sugar large eggs salt,russian
20542,40697,british,rolled oats vanilla extract egg yolks corn starch self rising flour salt butter white sugar,southern_us
24364,14098,british,dried currants all purpose flour tea bags baking powder dough unsalted butter boiling water sugar salt,southern_us
1551,31746,british,olive oil ground coriander mustard beef tenderloin ground black pepper oil pudding ground allspice,british
12317,44120,british,unsalted butter full fat cream cheese walnut eating apple cheese,french
19017,27018,british,flour worcestershire sauce bay leaf black pepper beef stock oil onion egg yolks salt kidney milk pastry shell chuck steaks,british
14105,34549,british,mincemeat pie crust large egg yolks,british
25611,6687,british,white sugar heavy cream fresh raspberries,french
6227,16881,british,baking soda date salt light brown sugar large eggs heavy cream orange zest pure vanilla extract unsalted butter whipped cream all purpose flour sugar baking powder light corn syrup,southern_us
30468,39725,british,parsley sprigs dijon mustard russet potatoes meat bones egg fresh chives baking powder malt vinegar freshly ground pepper ketchup cod fillets lemon beer mayonaise minced garlic coarse salt all purpose flour canola oil,british
20640,17892,british,brandy peach slices whipped cream sugar,southern_us
38640,13610,british,hard boiled egg lemon onion milk butter cracked black pepper basmati rice smoked haddock parsley sea salt Madras curry powder cayenne double cream grated nutmeg,british
14094,15353,british,sugar whole milk salt rhubarb large egg whites heavy cream vanilla custard unsalted shelled pistachio large egg yolks vanilla extract fino sherry syrup almond extract all purpose flour,french
37844,49648,british,white bread flour yeast salt milk,british
29467,16717,british,tomato paste lower sodium beef broth fresh thyme leaves all purpose flour cremini mushrooms ground black pepper paprika carrot mashed potatoes sharp white cheddar cheese butter chopped onion extra lean ground beef cooking spray salt fresh parsley,british
6448,17455,british,frozen pastry puff sheets pork beaten eggs dijon mustard,french
7541,9973,british,brussels sprouts bacon fat minced garlic onion mashed potatoes ham butter,irish
7528,24817,british,baking soda all purpose flour ground cinnamon buttermilk cream of tartar butter milk salt,southern_us
1653,32219,british,milk medium eggs salt plain flour dripping,british
20317,25714,british,unsalted butter salt quick cooking oats golden brown sugar golden syrup,british
19180,33035,british,chili flakes mixed vegetables onion olive oil garlic cloves cherry tomatoes free range egg ground turmeric garam masala mustard seeds,indian
19207,25338,british,parsnip unsalted butter yellow onion olive oil russet potatoes kosher salt chive carrot brussels sprouts ground black pepper heavy cream,british
30692,45873,british,cauliflower light cream salt onion white pepper whole milk corn starch chicken broth unsalted butter crouton celery ribs stilton floret stilton cheese,british
1719,22472,british,sugar whole milk crust large egg yolks raisin vanilla beans golden raisins bread slices unsalted butter whipping cream,french
34952,9571,british,water worcestershire sauce vegetable oil onion black pepper canned beef broth unsalted butter all purpose flour,mexican
30712,18200,british,all purpose flour large eggs milk salt,french
18853,22186,british,unsalted butter baking powder salt sweet sherry strawberry jam vanilla sugar large eggs heavy cream corn starch large egg yolks whole milk cake flour,british
1445,23154,british,tomato paste rosemary worcestershire sauce beer sage kosher salt mushroom all purpose flour steak pancetta water large garlic cloves beef broth onion sugar frozen pastry puff sheets cracked black pepper corn starch canola oil,british
20058,28831,british,pepper lemon wedge fish fillets vinegar dry bread crumbs medium eggs olive oil salt white flour potato,british
2915,23172,british,port wine milk butter all purpose flour pepper grated parmesan cheese garlic frozen peas water baking powder salt ground lamb brandy self rising flour worcestershire sauce onion,british
18591,48406,british,beef drippings beef rib roast all purpose flour marjoram horseradish milk purple onion garlic cloves egg pepper cracked black pepper beef broth cream dried thyme salt onion,british
7965,47360,british,egg baking powder vanilla extract ground cinnamon pitted date heavy cream brown sugar butter salt brandy spiced rum all purpose flour,british
19468,12883,british,button mushrooms puff pastry cream oil parsley steak p t,british
24030,37955,british,apple chopped walnuts cream cheese stilton,british
2263,32753,british,plain flour orange large eggs cold milk powdered sugar unsalted butter ground almonds golden caster sugar sliced almonds large free range egg raspberry jam frozen raspberries orange flower water,british
28916,19817,british,chopped fresh chives radish sesame oil,korean
38335,1431,british,savoy cabbage potato pepper salt cheddar cheese swede unsalted butter,british
6711,14635,british,sugar baking powder all purpose flour pure maple syrup baking soda heavy cream fig unsalted butter salt large egg yolks buttermilk,southern_us
38690,48199,british,ground ginger all purpose flour crystallized ginger unsalted butter sugar white rice flour,indian
20720,37614,british,bay leaves sunflower oil frozen peas smoked haddock fillet double cream fresh parsley medium curry powder butter free range egg basmati rice ground black pepper lemon onion,british
19399,44867,british,egg all purpose flour prepared horseradish roast beef milk au jus gravy salt canola oil,southern_us
34716,10364,british,Jell O Gelatin bittersweet chocolate sponge cake vanilla pudding jelli strawberri heavy cream,british
7837,44746,british,egg vanilla bread raisin half   half softened butter sugar salt,southern_us
6076,29718,british,kosher salt dry mustard beef rib roast black pepper all purpose flour,british
37606,28485,british,ground black pepper vegetable oil fresh lime juice pitted date bay leaves pheasant sugar dried apricot gran marnier dried thyme dry white wine thyme sprigs,french
14289,33584,british,egg all purpose flour    reduced fat milk salt vegetable oil,indian
12511,26791,british,golden brown sugar dried apricot all purpose flour unsalted butter vanilla extract large eggs salt baking soda baking powder sour cream,russian
37610,272,british,corn potato garlic onion tomato pur e olive oil worcestershire sauce carrot chicken stock rosemary butter salt pepper beef pea thyme,italian
11713,1361,british,white bread black pepper flour Tabasco Pepper Sauce salt English mustard cremini mushrooms lager beer shallot worcestershire sauce cheddar cheese pepper flank steak butter thyme sirloin kosher salt beef stock watercress sauce,british
11716,13895,british,baking soda white sugar cream of tartar all purpose flour salt milk margarine,irish
13225,49498,british,steak sauce green onions beef tenderloin steaks red potato butter egg refrigerated piecrusts leek dry mustard,southern_us
35156,9384,british,egg salt baking powder white sugar milk all purpose flour caraway seeds butter,irish
25716,44419,british,sirloin flour salt egg pepper butter onion beef kidney pastry beef stock garlic cloves port wine French mustard worcestershire sauce,british
18730,47088,british,mayonaise stilton cheese butter bread slices prepared horseradish roast beef purple onion arugula,british
32301,46873,british,pepper flour worcestershire sauce onion tomato paste minced garlic beef for stew thyme canola oil shredded cheddar cheese beef stock salt frozen peas mashed potatoes Guinness Beer sliced carrots sliced mushrooms,irish
4568,40725,british,pepper herb cracked black pepper ghee dijon mustard mushroom cayenne pepper onion celery ribs zucchini Himalayan salt smoked paprika dried oregano water sweet potatoes salt ground beef,cajun_creole
36345,20351,british,unsalted butter yukon gold potatoes salt pepper flour heavy cream oil brown sugar fresh thyme worcestershire sauce yellow onion water beef stock garlic pork sausages,british
32748,41643,british,pepper butter pork sausages flour salt chicken stock russet potatoes onion milk red wine canola oil,irish
28020,15263,british,bacon potato onion beef gravy salt meat,british
39277,18542,british,unsalted butter white rice flour all purpose flour white sugar,british
31814,1229,british,powdered sugar jam whipped cream fast rising yeast salt milk bread flour,british
190,24351,british,savoy cabbage salt unsalted butter baking potatoes black pepper,irish
26474,5404,british,melted butter curry powder cheddar cheese cheese black pepper liquid honey port wine unsalted butter,french
9232,25568,british,cold water all purpose flour shortening,southern_us
16334,31254,british,unsalted butter fleur de sel radish white sandwich bread coarse salt hothouse cucumber watercress,french
5063,27264,british,unsalted butter beef tenderloin kosher salt dry white wine freshly ground pepper cremini mushrooms frozen pastry puff sheets garlic truffle fresh thyme leaves canola oil,french
3634,21692,british,sausage links all purpose flour savory milk egg salt,italian
15690,32248,british,milk potato worcestershire sauce garlic cloves ground black pepper dry white wine salt celery olive oil beef stock cheese carrot tomato pur e grated parmesan cheese Tabasco Pepper Sauce minced beef onion,italian
26519,9688,british,butter sweetened condensed milk banana heavy whipping cream graham cracker crumbs confectioners sugar vanilla,southern_us
5080,46115,british,ruby port whipping cream prosciutto black mission figs pinenuts balsamic vinegar phyllo pastry sugar unsalted butter stilton cheese,british
15439,38700,british,pepper frozen pastry puff sheets salt haricots verts olive oil garlic filet mignon steaks shallot egg shiitake crushed red pepper,french
32692,28938,british,lemon zest vanilla white bread fresh cranberries cinnamon sticks cream sweeten whip cranberry juice cocktail pear light brown sugar dried apricot sour cherries,french
10694,47579,british,milk all purpose flour cream of tartar unsalted butter baking soda sugar salt,southern_us
35794,14728,british,dijon mustard salt pepper extra virgin olive oil panko breadcrumbs mayonaise sweet potatoes fresh lemon juice egg flour tilapia,japanese
31719,4243,british,pearl onions water butter,french
36361,6990,british,baking potatoes celery white pepper heavy cream sage brussels sprouts lemon onion unsalted butter bacon,british
39260,13735,british,pepper lean ground beef pork and beans dried thyme salt cream of mushroom soup corn cheese sour cream mashed potatoes parmesan cheese chopped onion,russian
27407,43017,british,mixed spice salt paprika butter pepper shrimp,cajun_creole
668,21301,british,sugar fino sherry water,spanish
10393,18883,british,large egg yolks raisin sugar whole milk crust unsalted butter whipping cream vanilla beans golden raisins bread slices,french
36291,10890,british,melted butter sweetened condensed milk graham cracker crumbs banana whipped cream,southern_us
4841,26474,british,nutmeg butter white sugar milk ground almonds cream sherry preserve egg all purpose flour,french
9049,6072,british,baking powder grated lemon peel unsalted butter salt dried apricot all purpose flour sugar whipping cream,italian
10046,34796,british,nutmeg whole milk salt mace butter golden syrup black treacle muscovado sugar free range egg self rising flour ginger porridge oats,british
3796,15610,british,egg potato shortcrust pastry medium curry powder butter fresh parsley cheddar cheese leek oil milk garlic,british
36850,15872,british,egg self rising flour margarine light brown sugar mixed spice grated lemon zest dried currants golden raisins almond paste fruit candied cherries apricot jam,british
9092,18721,british,milk pastry dough dri leav thyme black pepper garlic powder butter garlic cloves egg olive oil onion powder cognac cream mushroom salt beef tenderloin steaks,french
27683,33100,british,fresh spinach dijon mustard ground black pepper kosher salt cr me fra che pecorino cheese unsalted butter,french
3875,26305,british,cooky strawberry heavy cream granulated sugar confectioners sugar,british
3872,44693,british,cayenne paprika shredded extra sharp cheddar cheese beer flour unsalted butter dry mustard,british
17300,25188,british,milk onion melted butter potato dried oregano beef gravy chicken stock cubes cooking oil pork sausages,british
17307,34509,british,parmesan cheese onion pepper butter nutmeg potato pork sausages milk salt,irish
32099,24215,british,egg salt flour butter milk,british
36020,43649,british,all purpose flour milk egg butter,british
15823,17944,british,crusty bread leaf hard boiled egg chutney celery ribs fig unsalted butter apple cheddar cheese ground black pepper extra large eggs virginia ham kosher salt radish baby carrots,french
9977,45065,british,egg milk chip old bay seasoning filet ground cumin black pepper flour coarse sea salt salt canola oil ketchup jalapeno chilies instant potato flakes purple onion cornmeal pickle potato vegetable oil paprika corn starch,southern_us
269,30649,british,milk buttermilk sugar unsalted butter jam egg baking soda salt dried currants butter all purpose flour,british
36265,45092,british,buttermilk baking soda all purpose flour cream of tartar salt unsalted butter,southern_us
3786,40389,british,ham steak milk all purpose flour onion marmite kosher salt bay leaves carrot pork ground black pepper ground allspice peppercorn egg water ground pork lard,british
22055,18790,british,flour kidney beef stock puff pastry egg yolks onion water topside steak,british
9002,5944,british,chicken broth ground black pepper fresh thyme leaves celery kosher salt bay leaves butter frozen peas milk shallot carrot tomato sherry russet potatoes ground beef,irish
16271,2297,british,russet potatoes saffron cod fillets fresh herbs olive oil whipping cream balsamic vinegar arugula,british
17153,1436,british,yellow cake mix pie crust strawberry jam egg oil cold water water,southern_us
10312,27658,british,olive oil garlic celery canned corn pepper flour salt onion whitefish fillets potato shredded sharp cheddar cheese bay leaf dried thyme whole milk carrot dried parsley,french
36781,27299,british,olive oil shallot sherry vinegar pear chicory stilton cheese chestnut dijon mustard,british
32596,23624,british,cold water ale corn starch water cubed potatoes lard pepper salt cubed beef turnip frozen pastry puff sheets carrot onion,british
27277,47397,british,whole milk kosher salt salted butter egg all purpose flour,southern_us
33256,3440,british,dried currants ground nutmeg golden raisins orange juice grated lemon peel ground cinnamon ground cloves unsalted butter rum raisin ice cream pitted prunes brandy light molasses salt dark brown sugar grated orange peel milk dark rum ground allspice pippin apples,british
9700,36214,british,pickling spices green tomatoes salt ground ginger cayenne dry mustard white pepper raisin onion brown sugar vinegar apple,southern_us
16613,3798,british,self rising flour vegetable oil whole milk heavy cream large eggs butter sugar baking powder jam,southern_us
22545,29178,british,egg salt white vinegar mushroom crumpet egg yolks cayenne pepper marmite butter lemon juice,british
16820,43718,british,unsalted butter anchovy fillets fresh dill scotch kippered herring fillets olive oil cayenne pepper shallot fresh lemon juice,french
10866,12445,british,ground pepper extra virgin olive oil celery heavy cream fresh lemon juice red wine vinegar chopped walnuts dried currants apple stilton cheese,british
15193,46096,british,coffee granules baking powder whipping cream egg unsalted butter date boiling water baking soda butter salt brown sugar flour vanilla,british
27097,38510,british,pepper whole milk yoghurt lemon mustard seeds tomato fresh cilantro spring onions garlic smoked   dried fish curry powder large eggs ginger onion basmati hot chili butter salt,indian
3312,12318,british,yukon gold potatoes salt olive oil butter frozen peas pepper lean ground beef herbes de provence ground nutmeg garlic,french
31637,2815,british,ground ginger sultana suet egg bread crumb fresh lemon plain flour dried currants baking powder sugar milk,british
