,id,cuisine,ingredients_string,pred
16272,15871,brazilian,tomato paste water french bread lemon bay leaf fish fillets olive oil ground red pepper ground coriander tomato oyster dry white wine crabmeat onion green bell pepper ground nutmeg parsley garlic cloves,cajun_creole
12499,42981,brazilian,whole milk sugar condensed milk egg vanilla extract water,filipino
9585,31041,brazilian,cod fillets salt yellow onion clam juice dry bread crumbs large eggs cilantro leaves bay leaf russet potatoes hot sauce,spanish
31320,37910,british,water large eggs heavy cream brandy granulated sugar date butterscotch sauce baking soda half   half vanilla extract light brown sugar unsalted butter baking powder all purpose flour,southern_us
34604,38406,british,sugar strawberry salt lemon juice mint grated lemon zest heavy cream vanilla bean paste,italian
24760,16460,british,unsalted butter worcestershire sauce all purpose flour chopped garlic black pepper leek bacon slices carrot reduced sodium chicken broth whole milk salt extra sharp cheddar cheese celery ribs ale dry mustard California bay leaves,southern_us
31265,43968,british,egg butter croissant apple granulated sugar heavy cream golden raisins vanilla extract,french
28780,9907,british,lean ground pork lean ground beef ground black pepper unbaked pie shells mashed potatoes egg whites ground nutmeg salt,french
2202,12649,british,baking soda whole milk kosher salt dry yeast granulated sugar cornmeal water flour,southern_us
33451,11235,british,milk butter garlic cloves pork dried thyme all purpose flour pepper potato beef broth corn salt onion,irish
12939,12644,british,ground ginger heavy whipping cream graham cracker crumbs sweetened condensed milk banana white sugar butter,southern_us
37352,14301,british,turnip cider vinegar bay leaves garlic fresh rosemary prepared horseradish russet potatoes English mustard olive oil rib roast runny honey black peppercorns unsalted butter sea salt,french
3189,28027,british,kale cracked black pepper green onions canola oil unsalted butter fine sea salt milk russet potatoes,southern_us
28599,20543,british,Madeira rosemary sugar heavy cream kosher salt fresh lemon juice fig lemon,italian
34475,6719,british,ground black pepper butter ground beef brown sauce potato salt frozen peas cooking oil beef stock cubes onion water spring onions carrot,filipino
2081,16184,british,mussel unsalted butter onion water heavy cream Madeira bay leaves Madras curry powder large egg yolks garlic cloves,french
18199,23627,british,lemon juice sugar gingerroot seville oranges,chinese
14952,4054,british,tart shells dried fig egg chopped walnuts brown sugar citron raisin,italian
5607,12133,british,large egg whites raspberry preserves all purpose flour sugar almond ice water cream sweeten whip large egg yolks almond extract vanilla beans unsalted butter salt,french
39035,27327,british,puff pastry minced meat,french
34376,7096,british,cold milk baking powder unsalted butter salt large eggs sugar cake flour,southern_us
3108,28755,british,ground black pepper frozen peas heavy cream butter salt,southern_us
8216,7828,british,pepper lean ground beef beef broth italian seasoning tomato paste milk salt fresh parsley shredded cheddar cheese butter carrot ground cinnamon potato all purpose flour onion,italian
6860,44043,british,cream of tartar cream egg whites salt wine vanilla beans cinnamon nutmeg crumbles dried tart cherries cardamom pods sugar cherry chocolate,french
1036,39914,british,butter semi sweet chocolate morsels sugar salt light corn syrup water toasted almonds,french
8243,23479,british,grated parmesan cheese cake flour coarse salt olive oil whipping cream baking powder onion,italian
12329,15706,british,water vegetable oil cinnamon sticks demerara sugar olive oil red wine allspice tomato pur e rosemary red wine vinegar onion black pepper beef salt,greek
11957,35948,british,egg baking soda ground cloves corn syrup ground cinnamon cider vinegar white sugar shortening all purpose flour,southern_us
13925,35046,british,unsalted butter vanilla extract hazelnut whole milk all purpose flour baking soda baking powder sour cream sugar large eggs salt,russian
20542,40697,british,rolled oats vanilla extract egg yolks corn starch self rising flour salt butter white sugar,southern_us
24364,14098,british,dried currants all purpose flour tea bags baking powder dough unsalted butter boiling water sugar salt,southern_us
12317,44120,british,unsalted butter full fat cream cheese walnut eating apple cheese,french
25611,6687,british,white sugar heavy cream fresh raspberries,french
6227,16881,british,baking soda date salt light brown sugar large eggs heavy cream orange zest pure vanilla extract unsalted butter whipped cream all purpose flour sugar baking powder light corn syrup,southern_us
20640,17892,british,brandy peach slices whipped cream sugar,southern_us
14094,15353,british,sugar whole milk salt rhubarb large egg whites heavy cream vanilla custard unsalted shelled pistachio large egg yolks vanilla extract fino sherry syrup almond extract all purpose flour,french
6448,17455,british,frozen pastry puff sheets pork beaten eggs dijon mustard,french
7541,9973,british,brussels sprouts bacon fat minced garlic onion mashed potatoes ham butter,irish
7528,24817,british,baking soda all purpose flour ground cinnamon buttermilk cream of tartar butter milk salt,southern_us
19180,33035,british,chili flakes mixed vegetables onion olive oil garlic cloves cherry tomatoes free range egg ground turmeric garam masala mustard seeds,indian
1719,22472,british,sugar whole milk crust large egg yolks raisin vanilla beans golden raisins bread slices unsalted butter whipping cream,french
34952,9571,british,water worcestershire sauce vegetable oil onion black pepper canned beef broth unsalted butter all purpose flour,mexican
30712,18200,british,all purpose flour large eggs milk salt,french
28916,19817,british,chopped fresh chives radish sesame oil,korean
6711,14635,british,sugar baking powder all purpose flour pure maple syrup baking soda heavy cream fig unsalted butter salt large egg yolks buttermilk,southern_us
38690,48199,british,ground ginger all purpose flour crystallized ginger unsalted butter sugar white rice flour,indian
19399,44867,british,egg all purpose flour prepared horseradish roast beef milk au jus gravy salt canola oil,southern_us
7837,44746,british,egg vanilla bread raisin half   half softened butter sugar salt,southern_us
37606,28485,british,ground black pepper vegetable oil fresh lime juice pitted date bay leaves pheasant sugar dried apricot gran marnier dried thyme dry white wine thyme sprigs,french
14289,33584,british,egg all purpose flour    reduced fat milk salt vegetable oil,indian
12511,26791,british,golden brown sugar dried apricot all purpose flour unsalted butter vanilla extract large eggs salt baking soda baking powder sour cream,russian
37610,272,british,corn potato garlic onion tomato pur e olive oil worcestershire sauce carrot chicken stock rosemary butter salt pepper beef pea thyme,italian
11716,13895,british,baking soda white sugar cream of tartar all purpose flour salt milk margarine,irish
13225,49498,british,steak sauce green onions beef tenderloin steaks red potato butter egg refrigerated piecrusts leek dry mustard,southern_us
35156,9384,british,egg salt baking powder white sugar milk all purpose flour caraway seeds butter,irish
32301,46873,british,pepper flour worcestershire sauce onion tomato paste minced garlic beef for stew thyme canola oil shredded cheddar cheese beef stock salt frozen peas mashed potatoes Guinness Beer sliced carrots sliced mushrooms,irish
4568,40725,british,pepper herb cracked black pepper ghee dijon mustard mushroom cayenne pepper onion celery ribs zucchini Himalayan salt smoked paprika dried oregano water sweet potatoes salt ground beef,cajun_creole
32748,41643,british,pepper butter pork sausages flour salt chicken stock russet potatoes onion milk red wine canola oil,irish
190,24351,british,savoy cabbage salt unsalted butter baking potatoes black pepper,irish
26474,5404,british,melted butter curry powder cheddar cheese cheese black pepper liquid honey port wine unsalted butter,french
9232,25568,british,cold water all purpose flour shortening,southern_us
16334,31254,british,unsalted butter fleur de sel radish white sandwich bread coarse salt hothouse cucumber watercress,french
5063,27264,british,unsalted butter beef tenderloin kosher salt dry white wine freshly ground pepper cremini mushrooms frozen pastry puff sheets garlic truffle fresh thyme leaves canola oil,french
3634,21692,british,sausage links all purpose flour savory milk egg salt,italian
15690,32248,british,milk potato worcestershire sauce garlic cloves ground black pepper dry white wine salt celery olive oil beef stock cheese carrot tomato pur e grated parmesan cheese Tabasco Pepper Sauce minced beef onion,italian
26519,9688,british,butter sweetened condensed milk banana heavy whipping cream graham cracker crumbs confectioners sugar vanilla,southern_us
15439,38700,british,pepper frozen pastry puff sheets salt haricots verts olive oil garlic filet mignon steaks shallot egg shiitake crushed red pepper,french
32692,28938,british,lemon zest vanilla white bread fresh cranberries cinnamon sticks cream sweeten whip cranberry juice cocktail pear light brown sugar dried apricot sour cherries,french
10694,47579,british,milk all purpose flour cream of tartar unsalted butter baking soda sugar salt,southern_us
35794,14728,british,dijon mustard salt pepper extra virgin olive oil panko breadcrumbs mayonaise sweet potatoes fresh lemon juice egg flour tilapia,japanese
31719,4243,british,pearl onions water butter,french
39260,13735,british,pepper lean ground beef pork and beans dried thyme salt cream of mushroom soup corn cheese sour cream mashed potatoes parmesan cheese chopped onion,russian
27407,43017,british,mixed spice salt paprika butter pepper shrimp,cajun_creole
668,21301,british,sugar fino sherry water,spanish
10393,18883,british,large egg yolks raisin sugar whole milk crust unsalted butter whipping cream vanilla beans golden raisins bread slices,french
36291,10890,british,melted butter sweetened condensed milk graham cracker crumbs banana whipped cream,southern_us
4841,26474,british,nutmeg butter white sugar milk ground almonds cream sherry preserve egg all purpose flour,french
9049,6072,british,baking powder grated lemon peel unsalted butter salt dried apricot all purpose flour sugar whipping cream,italian
9092,18721,british,milk pastry dough dri leav thyme black pepper garlic powder butter garlic cloves egg olive oil onion powder cognac cream mushroom salt beef tenderloin steaks,french
27683,33100,british,fresh spinach dijon mustard ground black pepper kosher salt cr me fra che pecorino cheese unsalted butter,french
17307,34509,british,parmesan cheese onion pepper butter nutmeg potato pork sausages milk salt,irish
15823,17944,british,crusty bread leaf hard boiled egg chutney celery ribs fig unsalted butter apple cheddar cheese ground black pepper extra large eggs virginia ham kosher salt radish baby carrots,french
9977,45065,british,egg milk chip old bay seasoning filet ground cumin black pepper flour coarse sea salt salt canola oil ketchup jalapeno chilies instant potato flakes purple onion cornmeal pickle potato vegetable oil paprika corn starch,southern_us
36265,45092,british,buttermilk baking soda all purpose flour cream of tartar salt unsalted butter,southern_us
9002,5944,british,chicken broth ground black pepper fresh thyme leaves celery kosher salt bay leaves butter frozen peas milk shallot carrot tomato sherry russet potatoes ground beef,irish
17153,1436,british,yellow cake mix pie crust strawberry jam egg oil cold water water,southern_us
10312,27658,british,olive oil garlic celery canned corn pepper flour salt onion whitefish fillets potato shredded sharp cheddar cheese bay leaf dried thyme whole milk carrot dried parsley,french
27277,47397,british,whole milk kosher salt salted butter egg all purpose flour,southern_us
9700,36214,british,pickling spices green tomatoes salt ground ginger cayenne dry mustard white pepper raisin onion brown sugar vinegar apple,southern_us
16613,3798,british,self rising flour vegetable oil whole milk heavy cream large eggs butter sugar baking powder jam,southern_us
16820,43718,british,unsalted butter anchovy fillets fresh dill scotch kippered herring fillets olive oil cayenne pepper shallot fresh lemon juice,french
27097,38510,british,pepper whole milk yoghurt lemon mustard seeds tomato fresh cilantro spring onions garlic smoked   dried fish curry powder large eggs ginger onion basmati hot chili butter salt,indian
3312,12318,british,yukon gold potatoes salt olive oil butter frozen peas pepper lean ground beef herbes de provence ground nutmeg garlic,french
15213,11171,british,top round steak whole milk sharp cheddar cheese large eggs all purpose flour plum tomatoes kosher salt vegetable oil freshly ground pepper unsalted butter worcestershire sauce scallion,southern_us
10837,24298,british,olive oil ale garlic cloves onion whole grain dijon mustard chopped fresh thyme corn starch kosher salt ground black pepper greek style plain yogurt low sodium beef broth prepared horseradish yukon gold potatoes sausage low fat milk,french
15348,42009,british,raspberry heavy whipping cream vanilla granulated sugar mint fresh raspberries,french
742,31667,british,sugar ground nutmeg salt ground cinnamon dried currants baking powder dark brown sugar dark molasses unsalted butter all purpose flour melted butter baking soda buttermilk,southern_us
31690,7676,british,fig shortcrust pastry mixed spice currant treacle corn starch,irish
8435,21807,british,plain flour potato salt ground lamb water butter carrot pepper leek oil lamb bouillon cube worcestershire sauce bay leaf,irish
10879,33422,british,warm water oat flour active dry yeast white sugar milk salt whole wheat flour,indian
26881,25088,cajun_creole,spicy sausage green onions littleneck clams large shrimp olive oil butter fresh mushrooms halibut fillets clam juice linguine mussel seafood seasoning large garlic cloves plum tomatoes,italian
36279,5663,cajun_creole,egg vegetable oil cooking spray large eggs dry bread crumbs fresh parsley chicken broth green bell pepper water green onions garlic cloves wild mushrooms tasso fresh basil pepper french bread fresh mushrooms onion melted butter fresh spinach asparagus salt red bell pepper,italian
2434,2971,cajun_creole,garlic powder cayenne pepper butter lemon pepper ground black pepper red drum salt salad dressing,southern_us
29613,17871,cajun_creole,ground cloves crushed tomatoes grated parmesan cheese salt tomato sauce minced garlic finely chopped onion chopped celery white sugar green bell pepper pepper minced onion white rice ground beef black pepper olive oil chili powder bay leaf,italian
36524,29338,cajun_creole,large eggs vegetable oil all purpose flour catfish fillets whole milk worcestershire sauce chop fine pecan large garlic cloves fresh lemon juice unsalted butter dry white wine whipping cream,southern_us
29578,40702,cajun_creole,cajun seasoning chicken broth hot sauce bacon black eyed peas bay leaf,southern_us
6434,28884,cajun_creole,catfish fillets garlic powder chili powder black pepper ground red pepper dried oregano yellow corn meal cooking spray onion powder seasoning salt lemon wedge ground cumin,southern_us
4300,19306,cajun_creole,salt pepper squash tomato creole seasoning bacon slices onion,southern_us
38184,12026,cajun_creole,fat free milk salt baking potatoes cream style corn large shrimp pepper cajun seasoning,southern_us
13760,41683,cajun_creole,chicken broth unsalted butter garlic ground cayenne pepper lump crab meat clam juice all purpose flour white corn green onions salt onion dried thyme heavy cream ground white pepper,southern_us
2557,16597,cajun_creole,lime salt light brown sugar garlic powder dried oregano olive oil cayenne pepper tilapia fillets paprika cumin,mexican
36828,208,cajun_creole,blackening seasoning sea scallops heavy cream seasoned bread crumbs butter grated parmesan cheese,italian
19201,30759,cajun_creole,fat free yogurt ground red pepper salt ground cumin caper olive oil paprika fresh lime juice black pepper low fat mayonnaise ground coriander lime rind garlic powder cilantro sprigs large shrimp,mexican
34865,35245,cajun_creole,olive oil ground allspice mayonaise large garlic cloves creole mustard green onions bread crumb fresh veal rib chops,french
4680,18757,cajun_creole,baby lima beans cooking oil salt onion canned low sodium chicken broth ground black pepper dry mustard fresh parsley catfish fillets crushed tomatoes dry white wine frozen corn kernels dried oregano green bell pepper dried thyme Tabasco Pepper Sauce celery,southern_us
19275,23321,cajun_creole,water okra scallion greens chicken drumsticks chicken thighs celery ribs vegetable oil onion chicken broth hot sauce pork sausages,southern_us
4087,7526,cajun_creole,powdered sugar french bread strawberry large eggs vanilla extract grated orange sugar butter whole nutmegs ground cinnamon reduced fat milk salt,french
17020,19808,cajun_creole,chili powder salt garlic cloves black pepper worcestershire sauce hot sauce large shrimp ketchup sub buns dry bread crumbs fresh lemon juice olive oil purple onion leaf lettuce,southern_us
4551,39510,cajun_creole,vegetable oil flour,chinese
2242,23942,cajun_creole,orange blossom extract butter orange juice orange salt bread flour egg milk all purpose flour sugar lemon yeast,spanish
36294,25655,cajun_creole,unsalted butter bow tie pasta green bell pepper green onions sausage diced onions parmigiano reggiano cheese creole seasoning sun dried tomatoes heavy cream white mushrooms,italian
2381,36560,cajun_creole,green bell pepper dried thyme lima beans medium shrimp crushed tomatoes bay leaves okra celery ribs corn kernels yellow onion ham water unsalted butter rice pork sausages,southern_us
36718,39722,cajun_creole,fresh tomatoes minced onion frozen sweet corn fresh lime juice baby lima beans fresh parsley andouille sausage butter,southern_us
19358,25385,cajun_creole,honey spicy brown mustard minced garlic hot sauce green onions,southern_us
13028,64,cajun_creole,garlic powder butter ground cumin onion powder salt ground black pepper paprika boneless chop pork vegetable oil cayenne pepper,mexican
18388,14623,cajun_creole,olive oil crushed red pepper onion pasta dry white wine carrot grated lemon peel fresh marjoram diced tomatoes low salt chicken broth andouille chicken sausage garlic cloves chicken thighs,italian
26317,18927,cajun_creole,paprika cayenne pepper shellfish crab boil garlic powder garlic lemon pepper old bay seasoning margarine chicken,southern_us
15363,36188,cajun_creole,lime juice salt seasoning hot pepper sauce garlic salt water butter ground black pepper flat iron steaks,southern_us
3069,16058,cajun_creole,arborio rice kosher salt fresh thyme lemon carrot fresh parsley tomato ground black pepper bay leaves scallion celery chicken stock olive oil jalapeno chilies garlic red bell pepper orange zest white onion unsalted butter dry white wine juice medium shrimp,italian
28194,19127,cajun_creole,butter white sugar light brown sugar salt vanilla extract milk chopped pecans,southern_us
3095,40460,cajun_creole,parsley rice olive oil garlic chicken broth pea onion bell pepper smoked sausage,brazilian
17912,10103,cajun_creole,chicken bouillon granules dried basil chopped green bell pepper red pepper flakes carrot water olive oil bay leaves chopped celery dried oregano white wine dried thyme whole peeled tomatoes garlic smoked paprika orange salt and ground black pepper clam juice chopped onion saffron,spanish
35824,28970,cajun_creole,light mayonnaise spinach tortilla canned black beans vegetable oil dip mix cilantro leaves chicken breasts mango,mexican
28168,21697,cajun_creole,wonton wrappers chopped cilantro lump crab meat peanut oil spicy sausage cream cheese Tabasco Pepper Sauce rotel tomatoes,mexican
14491,24302,cajun_creole,bell pepper old bay seasoning salt garlic powder onion powder bacon broth pepper green onions heavy cream lemon pepper lobster spice garlic oregano,southern_us
28133,40536,cajun_creole,unsalted butter lemon catfish fillets chop fine pecan all purpose flour large eggs salt black pepper cracker crumbs chopped fresh sage,southern_us
15551,8462,cajun_creole,milk large shrimp egg creole seasoning flour mayonaise panko breadcrumbs,japanese
18496,3793,cajun_creole,caper green onions garlic fresh parsley olive oil sea salt red bell pepper pimento stuffed green olives lemon zest dry red wine celery crushed tomatoes chili powder freshly ground pepper onion,spanish
18107,42051,cajun_creole,crawfish butter garlic cloves spinach mushroom salt black pepper green onions fresh oregano fresh parmesan cheese part skim ricotta cheese boneless skinless chicken breast halves,italian
35632,17838,cajun_creole,onion powder salt paprika lemon pepper butter cayenne pepper garlic powder popcorn,southern_us
14877,17110,cajun_creole,water old bay seasoning crabmeat milk dry sherry corn starch half   half whipping cream onion celery ribs butter salt,southern_us
28638,8881,cajun_creole,vanilla ice cream granulated sugar butter salt firmly packed brown sugar banana baking powder vanilla extract shortening large eggs buttermilk all purpose flour ground cinnamon baking soda rum whipped cream creme de cacao,southern_us
25575,32547,cajun_creole,ground black pepper ground allspice celery salt coarse sea salt onion powder sweet paprika garlic powder cayenne pepper,southern_us
25596,19181,cajun_creole,red beans kosher salt meat bones cracked black pepper minute rice onion,southern_us
26670,12082,cajun_creole,white rice salt water,indian
26683,34358,cajun_creole,pepper garlic olive oil onion dried thyme white beans italian sausage chopped tomatoes,italian
13780,46177,cajun_creole,boneless chicken skinless thigh diced tomatoes bay leaf cumin tomato paste green onions smoked paprika long grain white rice bell pepper mexican chorizo onion chicken broth vegetable oil celery oregano,mexican
25511,25823,cajun_creole,sweet potatoes stewed tomatoes black eyed peas chili powder ground allspice dried thyme bay leaves frozen corn kernels hot pepper sauce large garlic cloves okra,southern_us
25783,18089,cajun_creole,vegetable provolone cheese pepperoni slices salami pimento Italian bread olive oil crushed red pepper,italian
3608,18577,cajun_creole,white pepper paprika ground cumin unsalted butter salt dried thyme dry mustard black pepper trout cayenne pepper,southern_us
37065,14491,cajun_creole,ground nutmeg half   half vanilla extract golden brown sugar raisin bread amaretto large egg yolks large eggs whipping cream sugar unsalted butter pumpkin salt,italian
37648,41570,cajun_creole,mozzarella cheese butter shrimp black pepper flour garlic whole wheat pasta milk asiago kosher salt cajun seasoning broccoli,italian
26585,6133,cajun_creole,sugar frozen pastry puff sheets salt onion green bell pepper corn husks whipping cream red bell pepper water butter tomato basil sauce pepper egg yolks all purpose flour,french
18704,23365,cajun_creole,black pepper minced onion SYD Hot Rub thyme onion celery ribs water red beans salt lard pepper bay leaves white rice ham hock green bell pepper garlic powder butter scallion celery,southern_us
4776,43891,cajun_creole,great northern beans pepper onion chicken broth jasmine rice garlic cloves green bell pepper vegetable oil smoked fully cooked ham salt,french
10289,8920,cajun_creole,bay leaves vegetable broth green pepper flavoring black pepper diced tomatoes cayenne pepper garlic cloves onion sweet potatoes paprika chickpea thyme natural peanut butter Tabasco Pepper Sauce salt okra celery,southern_us
39397,41962,cajun_creole,milk cooked bacon green bell pepper green onions cayenne pepper corn husks salt fresh tomatoes vegetable oil onion,southern_us
38694,13881,cajun_creole,chive cayenne crabmeat mayonaise red wine vinegar roasted red peppers garlic cloves,french
33793,14096,cajun_creole,egg salt ground black pepper mayonaise ground cayenne pepper dijon style mustard,southern_us
30928,32430,cajun_creole,seasoned bread crumbs egg yolks butter ice cream salt flour shallot cayenne pepper chicken broth grated parmesan cheese dry white wine salt oyster mushroom shell,french
8923,30271,cajun_creole,kosher salt worcestershire sauce corn grits unsalted butter fresh lemon juice hot pepper sauce dark beer fresh rosemary whole milk medium shrimp,southern_us
1264,38872,cajun_creole,duck drippings dried thyme bay leaves garlic fat pepper ground black pepper dry white wine duck toast milk flour dry sherry sweet paprika kosher salt garlic powder green onions salt low salt chicken broth,french
10388,1594,cajun_creole,chicken broth stone ground cornmeal hot pepper sauce baking powder all purpose unbleached flour ground white pepper dried oregano fresh basil evaporated milk bay leaves chile pepper salt chopped parsley egg dried thyme minced onion onion powder buttermilk red bell pepper minced garlic ground black pepper green onions butter cayenne pepper white sugar,southern_us
11581,41221,cajun_creole,beet greens finely chopped fresh parsley salt smoked ham hocks cider vinegar baby spinach garlic cloves turnip greens fresh thyme all purpose flour cabbage red chili peppers unsalted butter mustard greens onion,southern_us
32005,8209,cajun_creole,salt pecan Old Bay Blackened Seasoning string beans canola oil,southern_us
7636,43378,cajun_creole,vegetable oil shrimp egg salt fresh parsley tomato buttermilk cornmeal pepper all purpose flour,southern_us
39501,33537,cajun_creole,Madeira whipping cream garlic powder medium shrimp black pepper fresh mushrooms butter,southern_us
7663,39208,cajun_creole,plain flour evaporated milk shortening yeast egg salt sugar,filipino
1612,45814,cajun_creole,spice bread crumb fresh flat leaf parsley hellmann  or best food real mayonnais Mexican cheese blend boneless skinless chicken breast halves,mexican
33992,29479,cajun_creole,black peppercorns bay leaves coarse kosher salt water chile de arbol ice cubes whole cloves mustard seeds whole allspice chopped fresh thyme large shrimp,indian
20700,6074,cajun_creole,ground black pepper butter heavy whipping cream rosemary sprigs french bread dry bread crumbs fresh rosemary grated parmesan cheese salt fresh parsley oyster shallot ground white pepper,italian
32880,15422,cajun_creole,shucked oysters cayenne Italian bread yellow corn meal black pepper vegetable oil egg milk salt mayonaise flour iceberg lettuce,southern_us
11936,12594,cajun_creole,scallion greens water large eggs mesclun puff pastry sheets crawfish unsalted butter all purpose flour tomato olive oil pastry shell onion green bell pepper cayenne white wine vinegar,french
22158,17334,cajun_creole,ground black pepper salt lump crab meat red pepper flakes sesame oil scallion lime ginger,korean
39166,27241,cajun_creole,caster sugar egg yolks egg unsalted butter corn starch plain flour milk salt vanilla essence dry yeast,british
31619,18889,cajun_creole,turnip greens salt onion chicken broth ground black pepper diced ham canola oil black eyed peas creole seasoning dried oregano green bell pepper garlic celery,southern_us
23704,17840,cajun_creole,all purpose flour vegetable oil,chinese
8161,29424,cajun_creole,olive oil fresh basil leaves tomato sauce salt unsalted butter fillet red snapper freshly ground pepper,french
39334,49193,cajun_creole,tomato sauce dried basil pimento salt water finely chopped onion sliced carrots garlic cloves sugar olive oil chicken breasts hot sauce reduced sodium ham peeled tomatoes dry white wine green peas dried oregano,italian
33612,36449,cajun_creole,jumbo shrimp leek heavy whipping cream dry vermouth dried thyme large garlic cloves andouille sausage seafood stock all purpose flour red potato bottled clam juice butter puff pastry,french
33601,34705,cajun_creole,tomato water chopped celery okra celery pepper vegetable oil hot sauce turkey breast turkey carcass frozen whole kernel corn salt carrot bay leaf vegetable oil cooking spray finely chopped onion all purpose flour thyme peppercorn,southern_us
31233,42328,cajun_creole,milk chopped fresh chives heavy cream small red potato pork tenderloin butter cream cheese corn onion powder bacon sour cream spanish onion cajun seasoning garlic chopped cilantro fresh,southern_us
21181,14809,cajun_creole,turkey fresh thyme leaves onion crushed garlic butter beans tomato carrot,french
38968,43647,cajun_creole,unsalted butter salt pecan halves half   half light brown sugar granulated sugar baking soda bourbon whiskey,southern_us
8742,21887,cajun_creole,tapioca flour baking powder sweetened condensed milk instant yeast salt unsalted butter vegetable oil powdered sugar whole milk all purpose flour,brazilian
653,8358,cajun_creole,pepper worcestershire sauce salt shrimp fresh thyme leaves vegetable broth ham sliced green onions dry white wine heavy cream cayenne pepper corn grits butter garlic fresh lemon juice,southern_us
10621,26728,cajun_creole,vegetable oil cooking spray prune puree bread slices skim milk    low fat milk sugar vanilla extract unsweetened cocoa powder powdered sugar egg substitute margarine,french
1113,46868,cajun_creole,granulated sugar fine sea salt active dry yeast whole milk peanut oil water large eggs all purpose flour unsalted butter vegetable oil confectioners sugar,french
